epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.6591,1.60344,1.85813,1.72094,0.46435,0.44118,0.42612,0.18456,1.90759,2.19851,2.09429,0.000655556,0.000655556,0.000655556
2,42.0875,1.54665,1.7732,1.69482,0.44074,0.44118,0.40224,0.16739,2.09622,2.09293,2.24661,0.00129604,0.00129604,0.00129604
3,61.5067,1.63038,1.86617,1.73439,0.36788,0.37059,0.28228,0.11564,2.00955,2.32481,2.15896,0.00191013,0.00191013,0.00191013
4,80.969,1.68952,2.01557,1.81775,0.35199,0.43137,0.32902,0.10692,2.06525,nan,2.31676,0.0018812,0.0018812,0.0018812
5,100.608,1.65828,1.90465,1.75709,0.41579,0.41176,0.36726,0.1368,2.05484,2.22166,2.22157,0.0018416,0.0018416,0.0018416
6,120.705,1.69838,1.94897,1.8368,0.32301,0.44906,0.3231,0.11834,1.93004,4.79877,2.19621,0.001802,0.001802,0.001802
7,141.029,1.60476,1.86708,1.75935,0.36,0.42941,0.35426,0.13749,2.08668,2.6875,2.30738,0.0017624,0.0017624,0.0017624
8,161.358,1.61951,1.90639,1.77268,0.359,0.37647,0.32307,0.1163,2.0286,2.34154,2.20399,0.0017228,0.0017228,0.0017228
9,181.875,1.61524,1.88008,1.74698,0.42244,0.45294,0.40503,0.13895,2.02506,2.41945,2.19835,0.0016832,0.0016832,0.0016832
10,202.289,1.6012,1.87352,1.78822,0.33512,0.41765,0.34013,0.12528,2.07712,3.04354,2.26349,0.0016436,0.0016436,0.0016436
11,223.102,1.65543,1.88977,1.75609,0.4589,0.47059,0.38046,0.14201,1.99061,2.68044,2.20856,0.001604,0.001604,0.001604
