epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.1921,1.96744,6.14573,2.13852,0.02929,0.23529,0.0153,0.00411,2.47769,32.8885,4.15684,0.000655556,0.000655556,0.000655556
2,44.3869,1.90757,2.59191,2.09567,0.00127,0.24118,0.00061,0.00021,3.41054,inf,7.61911,0.00127859,0.00127859,0.00127859
3,64.247,2.09844,2.65827,2.20864,0.03286,0.01176,0.00771,0.00102,3.9189,6.64503,5.72405,0.00185762,0.00185762,0.00185762
4,85.4201,1.99613,2.5313,2.16561,0.04116,0.12941,0.01846,0.00449,3.23262,13.3938,3.87913,0.001802,0.001802,0.001802
5,105.944,1.92228,2.38696,2.07555,0.05251,0.21765,0.03339,0.00718,nan,nan,nan,0.001736,0.001736,0.001736
6,126.376,1.9201,2.29888,2.03262,0.18536,0.37059,0.16507,0.04467,2.26942,6.07925,2.55046,0.00167,0.00167,0.00167
7,147.815,1.85652,2.23677,1.98418,0.14928,0.27647,0.0895,0.0267,2.23128,4.15663,2.56519,0.001604,0.001604,0.001604
8,168.432,1.8187,2.29154,1.96562,0.22576,0.32353,0.19507,0.06126,2.31959,4.24623,2.49411,0.001538,0.001538,0.001538
9,189.607,1.78133,2.21016,1.92769,0.27873,0.27059,0.20357,0.07888,2.22187,2.67589,2.35089,0.001472,0.001472,0.001472
10,210.651,1.73682,2.1274,1.91277,0.37501,0.37059,0.28793,0.10407,2.17339,3.93366,2.42603,0.001406,0.001406,0.001406
11,231.292,1.76666,2.17786,1.89514,0.34282,0.42353,0.33563,0.11658,2.11022,3.15612,2.24263,0.00134,0.00134,0.00134
12,252.04,1.7067,2.09636,1.8322,0.42286,0.40588,0.3376,0.12872,1.97767,2.42527,2.15238,0.001274,0.001274,0.001274
13,273.324,1.6771,1.98186,1.80053,0.35649,0.35882,0.31388,0.14,1.86607,2.49134,2.11598,0.001208,0.001208,0.001208
14,294.309,1.68836,2.01655,1.83378,0.36323,0.4,0.30608,0.10646,2.06907,2.65589,2.27738,0.001142,0.001142,0.001142
15,314.674,1.67708,2.06748,1.81419,0.38172,0.38497,0.3461,0.13687,1.89536,2.45205,2.08494,0.001076,0.001076,0.001076
16,335.769,1.59909,1.92104,1.74746,0.35396,0.38824,0.33189,0.1238,2.03691,2.89865,2.21488,0.00101,0.00101,0.00101
17,355.847,1.65454,1.95098,1.79204,0.51378,0.36052,0.39304,0.16622,1.92585,2.40253,2.12086,0.000944,0.000944,0.000944
18,376.692,1.53748,1.85862,1.70976,0.50244,0.35882,0.40085,0.16635,1.9544,2.25187,2.1042,0.000878,0.000878,0.000878
19,397.107,1.59561,1.87899,1.77474,0.42422,0.43529,0.3786,0.15043,1.93419,2.14236,2.10986,0.000812,0.000812,0.000812
20,417.66,1.55173,1.80947,1.70719,0.4794,0.48824,0.43611,0.17308,1.94472,2.11855,2.07987,0.000746,0.000746,0.000746
21,452.786,1.69442,2.06864,1.92064,0.5692,0.38235,0.4246,0.18342,1.88819,2.24913,2.11508,0.00068,0.00068,0.00068
22,472.598,1.6534,2.00032,1.90836,0.37898,0.4,0.37263,0.14551,1.95223,2.14824,2.1052,0.000614,0.000614,0.000614
23,496.408,1.65301,1.93547,1.86721,0.43113,0.49412,0.46297,0.21305,1.7544,2.11516,1.94875,0.000548,0.000548,0.000548
24,521.956,1.62959,1.91026,1.86414,0.48356,0.51224,0.45004,0.19851,1.82598,2.0662,1.99428,0.000482,0.000482,0.000482
25,548.104,1.60349,1.89768,1.85844,0.49483,0.47647,0.45351,0.19756,1.79837,1.98234,1.96993,0.000416,0.000416,0.000416
26,573.86,1.56824,1.80367,1.80834,0.45879,0.47647,0.48687,0.21797,1.79803,2.07236,1.99877,0.00035,0.00035,0.00035
27,599.711,1.60844,1.77722,1.84138,0.54427,0.44962,0.52805,0.2562,1.72093,1.80182,1.9374,0.000284,0.000284,0.000284
28,625.762,1.59248,1.739,1.83251,0.52259,0.52941,0.53208,0.24864,1.79955,1.85618,1.97874,0.000218,0.000218,0.000218
29,649.995,1.53822,1.71046,1.76918,0.56111,0.48235,0.52452,0.24142,1.83019,1.80977,1.96898,0.000152,0.000152,0.000152
30,669.923,1.54621,1.68799,1.78429,0.59478,0.49412,0.55579,0.25278,1.80831,1.8035,1.96455,8.6e-05,8.6e-05,8.6e-05
